Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Benthic_length_m,Benthic_area_m2,Fish_area_m2,Invertebrate_area_m2,Hardcoral_percent,Softcoral_percent,Reckilledcoral_percent,Macroalgae_percent,Corallinealgae_percent,Other_percent,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no,Diadema_no,Acanthaster_no,Tridacnidae_no
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",6,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,79,14,4,2,0,1,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",6,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,71,14,6,0,0,9,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",6,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,74,16,5,0,0,5,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,47,0,24,0,0,29,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,64,2,23,0,0,11,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,48,0,38,0,0,14,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,18,14,18,0,0,50,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,12,30,16,2,0,40,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,18,14,16,1,0,51,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,43,28,14,0,0,15,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,11,40,2,2,0,45,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,7,34,6,3,0,50,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,60,2,3,0,0,35,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,48,2,2,0,0,48,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,65,2,7,0,0,26,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,77,5,2,0,0,16,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,82,0,0,0,0,18,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,95,0,1,0,0,4,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",9,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,22,5,3,0,0,70,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",9,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,17,1,3,0,0,79,,,,,,,,NA,NA,NA
