project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Taka Bonerate 2015,Indonesia,Ampalas Barat,-6.92243,121.28002,sheltered,atoll,back reef,2015,4,22,,>10m - excellent,,5,Core Zone,Zona Inti,2015,,"community, local government, government, NGO",full,no take,6,235.64,"{'omnivore': 58.97, 'piscivore': 12.89, 'planktivore': 71.9, 'invertivore-mobile': 51.26, 'invertivore-sessile': 4.63, 'herbivore-macroalgae': 3.79, 'herbivore-detritivore': 32.2}","{'Labridae': 27.39, 'Mullidae': 14.06, 'Scaridae': 27.1, 'Siganidae': 3.74, 'Apogonidae': 0.58, 'Balistidae': 4.7, 'Blenniidae': 0.05, 'Lutjanidae': 1.68, 'Serranidae': 9.89, 'Cirrhitidae': 0.35, 'Lethrinidae': 7.64, 'Acanthuridae': 43.76, 'Caesioinidae': 30.63, 'Nemipteridae': 4.03, 'Monacanthidae': 0.45, 'Pomacanthidae': 1.36, 'Pomacentridae': 50.86, 'Chaetodontidae': 6.83, 'Tetraodontidae': 0.54}",,,Coral/Algae,Shallow Lagoon,0.06255,0.910380007,0.761780006,0.092920001,-0.02427,-0.142390001,1.538432079,0,0,0,0,0,0.106514645,1e2bc901-23e8-43f7-806b-a355216f8ac3,c1eb38ae-fd06-4ae4-9647-6df6f47e938d,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b7076414-295a-45e2-a423-b7051100d687,1e2bc901-23e8-43f7-806b-a355216f8ac3,public summary
Taka Bonerate 2015,Indonesia,Ampalas Timur,-6.922428003,121.280016,semi-exposed,fringing,fore reef,2015,4,22,,>10m - excellent,,5.5,Core Zone,Zona Inti,2015,,"community, local government, government, NGO",full,no take,6,637.46,"{'omnivore': 82.62, 'piscivore': 21.94, 'planktivore': 256.25, 'invertivore-mobile': 136.7, 'invertivore-sessile': 11.37, 'herbivore-macroalgae': 8.28, 'herbivore-detritivore': 120.3}","{'Labridae': 44.36, 'Mullidae': 31.19, 'Scaridae': 79.77, 'Siganidae': 19.49, 'Zanclidae': 1.8, 'Apogonidae': 1.22, 'Balistidae': 5.72, 'Lutjanidae': 0.45, 'Serranidae': 9.33, 'Cirrhitidae': 0.98, 'Lethrinidae': 18.3, 'Ostraciidae': 3.05, 'Acanthuridae': 84.93, 'Aulostomidae': 8.35, 'Caesioinidae': 194.75, 'Nemipteridae': 35.13, 'Microdesmidae': 0.31, 'Monacanthidae': 4.31, 'Pomacanthidae': 8.28, 'Pomacentridae': 64.66, 'Chaetodontidae': 20.83, 'Tetraodontidae': 0.27, 'Pseudochromidae': 0.0}","Reef Zone, Reef Type, Exposure belum sesuai",,Coral/Algae,Shallow Lagoon,0.06255,0.91038,0.76178,0.09292,-0.02427,-0.14239,1.538432068,0,0,0,0,0,0.106514645,c15ea323-c243-4286-a2e5-e33a2f0dc72a,0e677780-d1c3-4143-b698-5ec38a1b0972,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b7076414-295a-45e2-a423-b7051100d687,c15ea323-c243-4286-a2e5-e33a2f0dc72a,public summary
Taka Bonerate 2015,Indonesia,Belang-Belang,-6.39778,121.09569,exposed,atoll,fore reef,2015,4,12,,>10m - excellent,,5,Utility / Tourism,Zona Pemanfaatan,2015,,"community, local government, government, NGO",low,no take,6,365.47,"{'omnivore': 87.25, 'piscivore': 35.4, 'planktivore': 144.64, 'invertivore-mobile': 44.43, 'invertivore-sessile': 6.59, 'herbivore-macroalgae': 2.23, 'herbivore-detritivore': 44.92}","{'Labridae': 29.55, 'Mullidae': 12.79, 'Scaridae': 47.49, 'Siganidae': 1.39, 'Apogonidae': 0.66, 'Balistidae': 61.84, 'Carangidae': 8.35, 'Lutjanidae': 2.43, 'Serranidae': 8.4, 'Cirrhitidae': 0.77, 'Lethrinidae': 0.91, 'Ostraciidae': 0.62, 'Acanthuridae': 59.0, 'Aulostomidae': 12.8, 'Caesioinidae': 56.16, 'Nemipteridae': 1.19, 'Holocentridae': 2.65, 'Microdesmidae': 0.26, 'Pomacanthidae': 1.64, 'Pomacentridae': 33.18, 'Chaetodontidae': 22.45, 'Tetraodontidae': 0.62, 'Pseudochromidae': 0.3, 'Pholidichthyidae': 0.04}",,,Rock,Outer Reef Flat,0.068059999,1.01400999,0.761779992,0.121699999,-0.00223,-0.290499997,2.215935688,0,0,47.08394575,0,0,0.188942964,dad67e5a-6016-454c-bf79-232ec9dbe191,eb33b8f8-05f3-4329-b572-be9153762977,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8e641681-ae77-49ea-9bb8-ec8cf82a9686,dad67e5a-6016-454c-bf79-232ec9dbe191,public summary
Taka Bonerate 2015,Indonesia,Bungin Kamase,-6.938359989,121.000066,semi-exposed,fringing,fore reef,2015,4,20,,>10m - excellent,,5,Utility / Tourism,Zona Pemanfaatan,2015,,"community, local government, government, NGO",low,no take,6,596.78,"{'omnivore': 111.34, 'piscivore': 104.6, 'planktivore': 217.36, 'invertivore-mobile': 65.57, 'invertivore-sessile': 6.85, 'herbivore-macroalgae': 5.75, 'herbivore-detritivore': 85.31}","{'Labridae': 54.35, 'Mullidae': 12.41, 'Scaridae': 100.77, 'Siganidae': 20.99, 'Zanclidae': 2.93, 'Balistidae': 101.92, 'Blenniidae': 0.13, 'Carangidae': 92.15, 'Lutjanidae': 5.99, 'Serranidae': 4.66, 'Cirrhitidae': 0.52, 'Lethrinidae': 12.26, 'Acanthuridae': 55.88, 'Caesioinidae': 38.13, 'Nemipteridae': 7.66, 'Synodontidae': 0.51, 'Holocentridae': 0.83, 'Microdesmidae': 0.47, 'Monacanthidae': 0.46, 'Pinguipedidae': 0.42, 'Pomacanthidae': 3.09, 'Pomacentridae': 76.85, 'Chaetodontidae': 3.13, 'Tetraodontidae': 0.26}","Reef Zone , Reef Type , Exposure belum sesuai",,Rock,Outer Reef Flat,0.05319027,0.914604294,0.761779988,0.093378501,-0.133441366,-0.187749547,1.833446175,0.000553179,0.000218756,0,0,0,0.159645759,0cf4e26c-9a69-43f2-b124-0195d4ffa4f5,17a9480b-d26e-4784-9167-64891b147fc0,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8e641681-ae77-49ea-9bb8-ec8cf82a9686,0cf4e26c-9a69-43f2-b124-0195d4ffa4f5,public summary
Taka Bonerate 2015,Indonesia,Bungin Laloh,-6.81948,121.28083,exposed,atoll,fore reef,2015,4,23,,>10m - excellent,,4.5,Utility / Tourism,Zona Pemanfaatan,2015,,"community, local government, government, NGO",low,no take,6,575.96,"{'omnivore': 62.65, 'piscivore': 204.8, 'planktivore': 209.29, 'invertivore-mobile': 47.21, 'invertivore-sessile': 9.93, 'herbivore-macroalgae': 6.58, 'herbivore-detritivore': 35.52}","{'Labridae': 26.55, 'Mullidae': 1.08, 'Scaridae': 27.76, 'Siganidae': 5.45, 'Apogonidae': 0.49, 'Balistidae': 39.63, 'Blenniidae': 0.07, 'Haemulidae': 1.79, 'Kyphosidae': 1.48, 'Lutjanidae': 3.61, 'Scombridae': 47.12, 'Serranidae': 9.01, 'Lethrinidae': 1.23, 'Ostraciidae': 0.09, 'Acanthuridae': 49.66, 'Aulostomidae': 3.57, 'Caesioinidae': 63.86, 'Nemipteridae': 0.48, 'Sphyraenidae': 139.55, 'Holocentridae': 38.73, 'Microdesmidae': 0.09, 'Pomacanthidae': 5.69, 'Pomacentridae': 95.18, 'Chaetodontidae': 12.84, 'Tetraodontidae': 0.54, 'Pseudochromidae': 0.44}",,,Sand,Shallow Lagoon,0.06187,0.91038,0.76178,0.09725,-0.01174,-0.27591,1.584830887,0,0,0,0,0,0.107371984,ccd978a7-0610-4f59-98c3-0e83a5f9bffe,49c61612-963f-4870-af58-0155b59fc8f6,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8e641681-ae77-49ea-9bb8-ec8cf82a9686,ccd978a7-0610-4f59-98c3-0e83a5f9bffe,public summary
Taka Bonerate 2015,Indonesia,Jinato Barat,-6.77289,120.96176,exposed,atoll,fore reef,2015,4,17,,>10m - excellent,,5.5,Utilization Tourism,Pemanfaatan Pariwisata,2015,,NGO,none,open access,6,264.51,"{'omnivore': 88.26, 'piscivore': 23.24, 'planktivore': 85.84, 'invertivore-mobile': 32.96, 'invertivore-sessile': 4.88, 'herbivore-macroalgae': 1.57, 'herbivore-detritivore': 27.77}","{'Labridae': 21.06, 'Mullidae': 1.79, 'Scaridae': 35.14, 'Siganidae': 4.24, 'Zanclidae': 2.01, 'Apogonidae': 0.82, 'Balistidae': 18.62, 'Blenniidae': 0.14, 'Haemulidae': 4.57, 'Serranidae': 6.31, 'Lethrinidae': 0.91, 'Ostraciidae': 4.2, 'Acanthuridae': 59.42, 'Aulostomidae': 6.58, 'Caesioinidae': 1.93, 'Nemipteridae': 0.6, 'Holocentridae': 12.16, 'Microdesmidae': 0.27, 'Monacanthidae': 2.05, 'Pomacanthidae': 1.49, 'Pomacentridae': 70.03, 'Chaetodontidae': 9.44, 'Tetraodontidae': 0.24, 'Pseudochromidae': 0.53}",,,Rock,Outer Reef Flat,0.049349999,0.95760998,0.761779984,0.100459998,-0.159349997,-0.438399991,1.984794753,0.00919755,0,67.43714761,0,0,0.257418987,e5491e1e-906b-481d-b74f-a00652225fbf,efc25ef9-7b04-45f1-8fad-7f4c37d3e086,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,9aace06d-42bb-4b55-aa3a-2e68f03f75cd,e5491e1e-906b-481d-b74f-a00652225fbf,public summary
Taka Bonerate 2015,Indonesia,Lantigiang Barat Daya,-6.70882,120.95501,exposed,atoll,fore reef,2015,4,16,,5-10m - fair,,5.5,Protection,Zona Perlindungan Bahari,2015,,"community, local government, government, NGO",full,no take,6,390.13,"{'omnivore': 63.68, 'piscivore': 44.57, 'planktivore': 175.83, 'invertivore-mobile': 39.37, 'invertivore-sessile': 31.31, 'herbivore-macroalgae': 5.5, 'herbivore-detritivore': 29.88}","{'Labridae': 18.5, 'Mullidae': 33.29, 'Scaridae': 17.08, 'Siganidae': 2.03, 'Zanclidae': 2.24, 'Balistidae': 133.53, 'Blenniidae': 0.12, 'Lutjanidae': 3.83, 'Serranidae': 4.94, 'Ostraciidae': 1.07, 'Acanthuridae': 62.61, 'Caesioinidae': 0.18, 'Nemipteridae': 3.47, 'Holocentridae': 7.4, 'Microdesmidae': 0.06, 'Monacanthidae': 4.71, 'Pinguipedidae': 0.29, 'Pomacanthidae': 20.86, 'Pomacentridae': 56.69, 'Chaetodontidae': 15.42, 'Tetraodontidae': 1.84}",,,,Plateau,0.05124,0.95761,0.76178,0.1028,-0.13433,-0.45964,2.018045965,0.00082479,0,76.01996422,0,0,0.254364294,21969b17-fdec-44d2-aa86-f9819d3a70d8,3f0b0e9e-67eb-4b65-b38c-af24a929b09a,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,02479d18-b7bc-406d-ae03-1f84c0e24f04,21969b17-fdec-44d2-aa86-f9819d3a70d8,public summary
Taka Bonerate 2015,Indonesia,Lantigiang Utara,-6.69546,120.96014,exposed,atoll,fore reef,2015,4,16,,>10m - excellent,,6,Protection,Zona Perlindungan Bahari,2015,,"community, local government, government, NGO",full,no take,6,275.95,"{'omnivore': 81.46, 'piscivore': 20.41, 'planktivore': 46.65, 'invertivore-mobile': 40.58, 'invertivore-sessile': 6.9, 'herbivore-macroalgae': 7.25, 'herbivore-detritivore': 72.7}","{'Labridae': 15.76, 'Mullidae': 6.18, 'Scaridae': 54.59, 'Siganidae': 7.67, 'Zanclidae': 2.76, 'Apogonidae': 0.17, 'Balistidae': 4.0, 'Blenniidae': 0.13, 'Carangidae': 3.55, 'Lutjanidae': 0.44, 'Serranidae': 7.85, 'Cirrhitidae': 0.46, 'Lethrinidae': 2.99, 'Acanthuridae': 80.13, 'Aulostomidae': 2.48, 'Nemipteridae': 10.75, 'Holocentridae': 6.02, 'Microdesmidae': 0.05, 'Monacanthidae': 0.46, 'Pinguipedidae': 0.42, 'Pomacanthidae': 1.01, 'Pomacentridae': 61.6, 'Chaetodontidae': 5.97, 'Tetraodontidae': 0.51}",,,Coral/Algae,Deep Lagoon,0.05658,0.957610002,0.761780001,0.10514,-0.08068,-0.406880001,2.056296546,0,0,8.582815184,0,0,0.177175167,9978b353-4c25-4829-83e8-34da873b0904,6d55cc94-3853-4423-bd88-97b1c8eae7d8,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,02479d18-b7bc-406d-ae03-1f84c0e24f04,9978b353-4c25-4829-83e8-34da873b0904,public summary
Taka Bonerate 2015,Indonesia,Latondu Kecil 1,-6.54816,120.92637,exposed,atoll,fore reef,2015,4,9,,>10m - excellent,,5,Core Zone,Zona Inti,2015,,"community, local government, government, NGO",full,no take,6,486.1,"{'omnivore': 91.19, 'piscivore': 57.91, 'planktivore': 189.04, 'invertivore-mobile': 63.33, 'invertivore-sessile': 12.14, 'herbivore-macroalgae': 24.73, 'herbivore-detritivore': 47.78}","{'Labridae': 43.6, 'Mullidae': 11.88, 'Scaridae': 42.38, 'Siganidae': 7.46, 'Zanclidae': 2.78, 'Balistidae': 33.6, 'Blenniidae': 0.04, 'Lutjanidae': 32.99, 'Serranidae': 23.57, 'Cirrhitidae': 3.06, 'Lethrinidae': 2.81, 'Acanthuridae': 103.8, 'Caesioinidae': 47.31, 'Nemipteridae': 1.98, 'Scorpaenidae': 1.21, 'Holocentridae': 2.54, 'Microdesmidae': 0.27, 'Monacanthidae': 0.93, 'Pomacanthidae': 2.82, 'Pomacentridae': 96.8, 'Chaetodontidae': 23.5, 'Tetraodontidae': 0.8, 'Pseudochromidae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.07181,0.868149995,0.761779995,0.112479999,0.06854,-0.03474,2.253468059,0,0,217.2869001,0,139.9999991,0.351494547,c0381876-4d14-4a1f-af28-b6ac4d5d0da4,d9afab2d-e937-473a-b103-4d2d453d7727,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b7076414-295a-45e2-a423-b7051100d687,c0381876-4d14-4a1f-af28-b6ac4d5d0da4,public summary
Taka Bonerate 2015,Indonesia,Latondu Kecil 2,-6.523467014,120.930956,semi-exposed,fringing,fore reef,2015,4,9,,>10m - excellent,,6.5,Core Zone,Zona Inti,2015,,"community, local government, government, NGO",full,no take,6,952.98,"{'omnivore': 123.18, 'piscivore': 98.23, 'planktivore': 316.91, 'invertivore-mobile': 264.98, 'invertivore-sessile': 17.24, 'herbivore-macroalgae': 24.9, 'herbivore-detritivore': 107.55}","{'Labridae': 20.55, 'Mullidae': 13.31, 'Scaridae': 122.41, 'Siganidae': 4.53, 'Zanclidae': 1.11, 'Apogonidae': 2.56, 'Balistidae': 254.36, 'Carangidae': 21.53, 'Dasyatidae': 7.58, 'Haemulidae': 19.47, 'Kyphosidae': 16.91, 'Lutjanidae': 6.5, 'Serranidae': 21.9, 'Cirrhitidae': 2.65, 'Diodontidae': 5.49, 'Lethrinidae': 180.78, 'Ostraciidae': 4.01, 'Acanthuridae': 88.6, 'Aulostomidae': 9.23, 'Caesioinidae': 5.59, 'Nemipteridae': 2.87, 'Synodontidae': 0.75, 'Fistulariidae': 7.88, 'Holocentridae': 21.16, 'Microdesmidae': 0.58, 'Monacanthidae': 1.6, 'Pinguipedidae': 0.97, 'Pomacanthidae': 9.22, 'Pomacentridae': 59.41, 'Chaetodontidae': 20.95, 'Tetraodontidae': 18.48, 'Pseudochromidae': 0.08}","Reef Zone , Reef Type , Exposure belum sesuai",,,,0.071810001,0.868150016,0.761780014,0.112480002,0.068540001,-0.034740001,2.253468113,0,0,217.2869054,0,140.0000025,0.351494555,f9b5dfc3-5226-432f-982e-c869adb00277,ab7646e5-d9dc-4b2b-92a4-ba136dd7fd42,1277efc2-db70-4b8e-97e3-3237a7dae3d3,,https://datamermaid.org/contact-project?project_id=1277efc2-db70-4b8e-97e3-3237a7dae3d3,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b7076414-295a-45e2-a423-b7051100d687,f9b5dfc3-5226-432f-982e-c869adb00277,public summary
