project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,percent_cover_by_benthic_category_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_benthicpit
Taka Bonerate NP-2019,Indonesia,Ampalas Barat,-6.92243,121.28002,sheltered,atoll,back reef,2019,10,16,high,>10m - excellent,low,5,Core Zone,Zona Inti,2018,,"community, local government, government, NGO",full,no take,6,"{'Sand': 9.5, 'Other': 0.0, 'Rubble': 39.5, 'Seagrass': 2.0, 'Hard coral': 29.0, 'Macroalgae': 0.33, 'Soft coral': 3.83, 'Turf algae': 11.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 4.17, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Shallow Lagoon,0.06255,0.910380007,0.761780006,0.092920001,-0.02427,-0.142390001,1.538432079,0,0,0,0,0,0.106514645,f48b3794-b8f0-4c54-9ded-110db179bd39,d93344a3-b6c6-4a1b-aaa3-ef47eb99023d,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,fcc6c699-f2f4-45b9-a176-0352a60c5a5f,f48b3794-b8f0-4c54-9ded-110db179bd39,public summary
Taka Bonerate NP-2019,Indonesia,Belang-Belang,-6.39778,121.09569,exposed,atoll,fore reef,2019,10,6,high,>10m - excellent,low,5.5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 4.17, 'Seagrass': 0.0, 'Hard coral': 35.0, 'Macroalgae': 1.17, 'Soft coral': 18.33, 'Turf algae': 32.17, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 8.83, 'Crustose coralline algae': 0.0}",,,Rock,Outer Reef Flat,0.068059999,1.01400999,0.761779992,0.121699999,-0.00223,-0.290499997,2.215935688,0,0,47.08394575,0,0,0.188942964,1e39c30a-0769-4c50-b730-123f11467220,d27035dc-f1a7-478e-af08-096d721a123a,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,1e39c30a-0769-4c50-b730-123f11467220,public summary
Taka Bonerate NP-2019,Indonesia,Bungin Laloh,-6.81948,121.28083,exposed,atoll,fore reef,2019,10,17,high,>10m - excellent,low,5,Traditional Fisheries,Zona Tradisional,2018,,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,"{'Sand': 7.67, 'Other': 0.0, 'Rubble': 24.33, 'Seagrass': 0.0, 'Hard coral': 36.33, 'Macroalgae': 1.67, 'Soft coral': 4.5, 'Turf algae': 21.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 3.83, 'Crustose coralline algae': 0.0}",,,Sand,Shallow Lagoon,0.06187,0.91038,0.76178,0.09725,-0.01174,-0.27591,1.584830887,0,0,0,0,0,0.107371984,a06954bf-ffd1-4757-a73a-afb2d789547e,71ed50a3-ef3a-4dc6-ac32-c2b9d81168cd,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,d60be4d1-8f5c-4c16-8256-c46764fe8cda,a06954bf-ffd1-4757-a73a-afb2d789547e,public summary
Taka Bonerate NP-2019,Indonesia,Jinato Barat,-6.77289,120.96176,exposed,atoll,fore reef,2019,10,14,high,>10m - excellent,low,5.5,Traditional Fisheries,Zona Tradisional,2018,,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,"{'Sand': 0.67, 'Other': 0.0, 'Rubble': 17.67, 'Seagrass': 0.0, 'Hard coral': 60.0, 'Macroalgae': 0.83, 'Soft coral': 2.5, 'Turf algae': 11.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 6.67, 'Crustose coralline algae': 0.0}",,,Rock,Outer Reef Flat,0.049349999,0.95760998,0.761779984,0.100459998,-0.159349997,-0.438399991,1.984794753,0.00919755,0,67.43714761,0,0,0.257418987,60882093-59ef-4d4c-bb8c-fe7479187e11,bb619faa-10c3-4de8-bef6-0d7096ef0ccd,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,d60be4d1-8f5c-4c16-8256-c46764fe8cda,60882093-59ef-4d4c-bb8c-fe7479187e11,public summary
Taka Bonerate NP-2019,Indonesia,Jinato Timur,-6.7591,120.97266,semi-exposed,atoll,back reef,2019,10,14,"falling, high",>10m - excellent,low,5,Rehabilitation,Zona Rehabilitasi,2018,,"community, local government, government, NGO",low,periodic closure,6,"{'Sand': 6.67, 'Other': 0.0, 'Rubble': 33.0, 'Seagrass': 0.0, 'Hard coral': 40.83, 'Macroalgae': 0.17, 'Soft coral': 1.17, 'Turf algae': 15.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.5, 'Crustose coralline algae': 0.0}",,,,,0.049349999,0.957609987,0.761779989,0.100459999,-0.159349998,-0.438399994,1.984794767,0.00919755,0,67.4371481,0,0,0.257418989,047101d8-44a5-4039-914f-22302789acd3,68c1c30e-d9d8-4f19-9f88-38bf661002eb,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,cb64adad-91ca-4ae1-80d6-4f8b3249f5f1,047101d8-44a5-4039-914f-22302789acd3,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Barat,-6.80719,120.775,exposed,fringing,fore reef,2019,10,20,low,">10m - excellent, 5-10m - fair",low,5.5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,"{'Sand': 14.83, 'Other': 0.0, 'Rubble': 32.5, 'Seagrass': 0.0, 'Hard coral': 32.17, 'Macroalgae': 0.0, 'Soft coral': 5.17, 'Turf algae': 14.0, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.33, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Reef Slope,0.04885,0.823400003,0.761780002,0.0987,-0.13358,-0.288020001,2.136223886,1.934524781,0.000389261,2198.605598,0,0,0.412896647,2edcf2c4-c2ba-400b-99c4-68063c9be041,be3c921f-76eb-498c-836a-f2557cbd1ea3,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,2edcf2c4-c2ba-400b-99c4-68063c9be041,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Tenggara,-6.83133,120.81421,semi-exposed,fringing,fore reef,2019,10,20,high,>10m - excellent,low,5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,"{'Sand': 1.67, 'Other': 0.0, 'Rubble': 38.67, 'Seagrass': 0.0, 'Hard coral': 42.33, 'Macroalgae': 6.5, 'Soft coral': 0.83, 'Turf algae': 6.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 3.33, 'Crustose coralline algae': 0.0}",,,Rock,Reef Crest,0.049,0.823399999,0.761779999,0.09856,-0.13243,-0.28319,2.083233931,2.319336174,0.000101837,2198.605589,0,0,0.408879178,1fda4ac7-08ad-47c1-aed7-bfca1377f041,b94fc575-97af-4b74-b08e-198936a7ad74,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,1fda4ac7-08ad-47c1-aed7-bfca1377f041,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Timur,-6.78968,120.8084,exposed,fringing,fore reef,2019,10,21,high,">10m - excellent, 5-10m - fair",low,5.5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,"{'Sand': 16.0, 'Other': 0.0, 'Rubble': 48.0, 'Seagrass': 0.0, 'Hard coral': 18.17, 'Macroalgae': 0.17, 'Soft coral': 6.67, 'Turf algae': 7.83, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 3.17, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Reef Slope,0.04859,0.839519996,0.761779997,0.10099,-0.136359999,-0.339159998,2.193224261,1.923998109,0,1674.961601,0,0,0.322755916,227d42e1-c541-41c6-a014-83fb35ad20a5,f0464289-fe03-47dc-94b0-581972d1f5f7,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,227d42e1-c541-41c6-a014-83fb35ad20a5,public summary
Taka Bonerate NP-2019,Indonesia,Lantigiang Barat Daya,-6.70882,120.95501,exposed,atoll,fore reef,2019,10,13,"low, rising",">10m - excellent, 5-10m - fair",low,5.5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,"{'Sand': 2.83, 'Other': 0.0, 'Rubble': 26.33, 'Seagrass': 0.0, 'Hard coral': 41.67, 'Macroalgae': 0.5, 'Soft coral': 6.17, 'Turf algae': 19.83, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}",,,,Plateau,0.05124,0.95761,0.76178,0.1028,-0.13433,-0.45964,2.018045965,0.00082479,0,76.01996422,0,0,0.254364294,89f78814-c3b6-4883-8d0f-f82c018ab2de,ea93826d-b14e-47ef-bc85-9c0a04317186,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,89f78814-c3b6-4883-8d0f-f82c018ab2de,public summary
Taka Bonerate NP-2019,Indonesia,Lantigiang Timur,-6.70094,120.97813,semi-exposed,atoll,fore reef,2019,10,13,high,>10m - excellent,moderate,5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,"{'Sand': 40.33, 'Other': 0.0, 'Rubble': 32.83, 'Seagrass': 0.0, 'Hard coral': 15.17, 'Macroalgae': 0.17, 'Soft coral': 2.17, 'Turf algae': 6.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}",,,Sand,Shallow Lagoon,0.05124,0.95761,0.76178,0.1028,-0.13433,-0.45964,2.018045965,0.00082479,0,76.01996422,0,0,0.254364294,a8881c41-3993-4106-bd98-87614e53b1fe,4e6da186-f71d-4325-905b-5c11311dccab,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,a8881c41-3993-4106-bd98-87614e53b1fe,public summary
