project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Taka Bonerate NP-2019,Indonesia,Ampalas Barat,-6.92243,121.28002,sheltered,atoll,back reef,2019,10,16,high,>10m - excellent,low,5,Core Zone,Zona Inti,2018,,"community, local government, government, NGO",full,no take,6,817.57,"{'omnivore': 120.1, 'piscivore': 109.85, 'planktivore': 100.41, 'invertivore-mobile': 162.78, 'invertivore-sessile': 10.97, 'herbivore-macroalgae': 23.27, 'herbivore-detritivore': 290.21}","{'Gobiidae': 0.04, 'Labridae': 55.09, 'Mullidae': 49.02, 'Scaridae': 286.78, 'Siganidae': 19.86, 'Zanclidae': 22.33, 'Balistidae': 37.24, 'Blenniidae': 0.41, 'Lutjanidae': 63.66, 'Serranidae': 20.81, 'Lethrinidae': 28.7, 'Acanthuridae': 92.65, 'Aulostomidae': 21.92, 'Caesioinidae': 3.62, 'Gobiesocidae': 0.01, 'Nemipteridae': 7.62, 'Synodontidae': 0.52, 'Fistulariidae': 3.5, 'Holocentridae': 3.92, 'Monacanthidae': 0.46, 'Pinguipedidae': 0.42, 'Pomacanthidae': 7.71, 'Pomacentridae': 79.78, 'Chaetodontidae': 8.02, 'Tetraodontidae': 1.95, 'Pseudochromidae': 1.54}",,,Coral/Algae,Shallow Lagoon,0.06255,0.910380007,0.761780006,0.092920001,-0.02427,-0.142390001,1.538432079,0,0,0,0,0,0.106514645,f48b3794-b8f0-4c54-9ded-110db179bd39,d93344a3-b6c6-4a1b-aaa3-ef47eb99023d,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,fcc6c699-f2f4-45b9-a176-0352a60c5a5f,f48b3794-b8f0-4c54-9ded-110db179bd39,public summary
Taka Bonerate NP-2019,Indonesia,Belang-Belang,-6.39778,121.09569,exposed,atoll,fore reef,2019,10,6,rising,>10m - excellent,low,5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,383.65,"{'omnivore': 41.6, 'piscivore': 51.65, 'planktivore': 103.25, 'invertivore-mobile': 126.97, 'invertivore-sessile': 8.27, 'herbivore-macroalgae': 10.98, 'herbivore-detritivore': 40.94}","{'Labridae': 39.76, 'Mullidae': 20.33, 'Scaridae': 40.34, 'Sparidae': 1.35, 'Siganidae': 0.76, 'Zanclidae': 30.76, 'Apogonidae': 0.12, 'Balistidae': 2.97, 'Blenniidae': 0.85, 'Ephippidae': 6.29, 'Haemulidae': 12.51, 'Lutjanidae': 47.53, 'Muraenidae': 0.84, 'Serranidae': 12.45, 'Cirrhitidae': 0.06, 'Lethrinidae': 2.74, 'Acanthuridae': 36.79, 'Aulostomidae': 6.35, 'Caesioinidae': 23.67, 'Centriscidae': 0.21, 'Nemipteridae': 2.81, 'Holocentridae': 4.71, 'Microdesmidae': 0.12, 'Pomacanthidae': 1.74, 'Pomacentridae': 56.22, 'Chaetodontidae': 30.65, 'Tetraodontidae': 0.74}",,,Rock,Outer Reef Flat,0.068059999,1.01400999,0.761779992,0.121699999,-0.00223,-0.290499997,2.215935688,0,0,47.08394575,0,0,0.188942964,1e39c30a-0769-4c50-b730-123f11467220,d27035dc-f1a7-478e-af08-096d721a123a,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,1e39c30a-0769-4c50-b730-123f11467220,public summary
Taka Bonerate NP-2019,Indonesia,Bungin Laloh,-6.81948,121.28083,exposed,atoll,fore reef,2019,10,17,"high, rising",>10m - excellent,low,5,Traditional Fisheries,Zona Tradisional,2018,,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,1065.08,"{'omnivore': 117.06, 'piscivore': 96.06, 'planktivore': 162.43, 'invertivore-mobile': 190.57, 'invertivore-sessile': 46.9, 'herbivore-macroalgae': 39.4, 'herbivore-detritivore': 412.67}","{'Labridae': 42.9, 'Mullidae': 13.47, 'Scaridae': 281.57, 'Siganidae': 17.71, 'Zanclidae': 58.97, 'Balistidae': 56.06, 'Blenniidae': 0.22, 'Lutjanidae': 33.6, 'Serranidae': 29.11, 'Cirrhitidae': 0.38, 'Lethrinidae': 60.86, 'Ostraciidae': 1.16, 'Acanthuridae': 226.3, 'Aulostomidae': 3.7, 'Nemipteridae': 7.47, 'Fistulariidae': 3.63, 'Holocentridae': 104.65, 'Microdesmidae': 0.31, 'Monacanthidae': 1.48, 'Pomacanthidae': 41.15, 'Pomacentridae': 67.87, 'Chaetodontidae': 10.78, 'Tetraodontidae': 1.73, 'Pseudochromidae': 0.0}",,,Sand,Shallow Lagoon,0.06187,0.91038,0.76178,0.09725,-0.01174,-0.27591,1.584830887,0,0,0,0,0,0.107371984,a06954bf-ffd1-4757-a73a-afb2d789547e,71ed50a3-ef3a-4dc6-ac32-c2b9d81168cd,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,d60be4d1-8f5c-4c16-8256-c46764fe8cda,a06954bf-ffd1-4757-a73a-afb2d789547e,public summary
Taka Bonerate NP-2019,Indonesia,Jinato Barat,-6.77289,120.96176,exposed,atoll,fore reef,2019,10,14,"high, rising",>10m - excellent,low,5,Traditional Fisheries,Zona Tradisional,2018,,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,907.34,"{'omnivore': 81.54, 'piscivore': 152.32, 'planktivore': 130.86, 'invertivore-mobile': 261.46, 'invertivore-sessile': 8.23, 'herbivore-macroalgae': 7.24, 'herbivore-detritivore': 265.7}","{'Gobiidae': 0.03, 'Labridae': 45.15, 'Mullidae': 12.03, 'Scaridae': 252.3, 'Siganidae': 9.39, 'Zanclidae': 21.87, 'Apogonidae': 2.05, 'Balistidae': 19.97, 'Blenniidae': 0.37, 'Carangidae': 9.09, 'Haemulidae': 174.29, 'Lutjanidae': 51.9, 'Serranidae': 46.81, 'Cirrhitidae': 0.2, 'Lethrinidae': 31.78, 'Ostraciidae': 0.94, 'Acanthuridae': 69.56, 'Aulostomidae': 4.26, 'Caesioinidae': 20.72, 'Nemipteridae': 18.18, 'Synodontidae': 0.38, 'Holocentridae': 8.69, 'Microdesmidae': 0.31, 'Pomacanthidae': 5.42, 'Pomacentridae': 84.61, 'Chaetodontidae': 15.97, 'Tetraodontidae': 1.09, 'Pseudochromidae': 0.01}",,,Rock,Outer Reef Flat,0.049349999,0.95760998,0.761779984,0.100459998,-0.159349997,-0.438399991,1.984794753,0.00919755,0,67.43714761,0,0,0.257418987,60882093-59ef-4d4c-bb8c-fe7479187e11,bb619faa-10c3-4de8-bef6-0d7096ef0ccd,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,d60be4d1-8f5c-4c16-8256-c46764fe8cda,60882093-59ef-4d4c-bb8c-fe7479187e11,public summary
Taka Bonerate NP-2019,Indonesia,Jinato Timur,-6.7591,120.97266,semi-exposed,atoll,back reef,2019,10,14,high,>10m - excellent,low,5,Rehabilitation,Zona Rehabilitasi,2018,,"community, local government, government, NGO",low,periodic closure,6,1645.66,"{'omnivore': 113.48, 'piscivore': 408.92, 'planktivore': 190.71, 'invertivore-mobile': 371.89, 'invertivore-sessile': 43.3, 'herbivore-macroalgae': 8.21, 'herbivore-detritivore': 509.16}","{'Labridae': 97.8, 'Mullidae': 156.14, 'Scaridae': 387.13, 'Siganidae': 121.01, 'Zanclidae': 9.5, 'Apogonidae': 2.01, 'Balistidae': 2.16, 'Blenniidae': 0.36, 'Ephippidae': 24.89, 'Haemulidae': 108.09, 'Lutjanidae': 139.05, 'Serranidae': 31.33, 'Cirrhitidae': 0.39, 'Lethrinidae': 49.87, 'Ostraciidae': 0.68, 'Acanthuridae': 69.68, 'Aulostomidae': 59.18, 'Caesioinidae': 93.71, 'Nemipteridae': 98.43, 'Holocentridae': 55.14, 'Monacanthidae': 0.3, 'Pomacanthidae': 6.87, 'Pomacentridae': 116.9, 'Chaetodontidae': 11.28, 'Tetraodontidae': 2.76, 'Pseudochromidae': 1.03}",,,,,0.049349999,0.957609987,0.761779989,0.100459999,-0.159349998,-0.438399994,1.984794767,0.00919755,0,67.4371481,0,0,0.257418989,047101d8-44a5-4039-914f-22302789acd3,68c1c30e-d9d8-4f19-9f88-38bf661002eb,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,cb64adad-91ca-4ae1-80d6-4f8b3249f5f1,047101d8-44a5-4039-914f-22302789acd3,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Barat,-6.80719,120.775,exposed,fringing,fore reef,2019,10,20,low,>10m - excellent,low,5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,826.05,"{'omnivore': 129.71, 'piscivore': 144.19, 'planktivore': 120.98, 'invertivore-mobile': 229.6, 'invertivore-sessile': 28.51, 'herbivore-macroalgae': 60.85, 'herbivore-detritivore': 112.22}","{'Gobiidae': 0.04, 'Labridae': 22.63, 'Mullidae': 24.5, 'Scaridae': 86.09, 'Siganidae': 56.43, 'Zanclidae': 29.95, 'Apogonidae': 0.58, 'Balistidae': 98.11, 'Blenniidae': 0.72, 'Dasyatidae': 2.38, 'Haemulidae': 97.69, 'Lutjanidae': 0.74, 'Muraenidae': 2.89, 'Plotosidae': 1.17, 'Serranidae': 25.78, 'Cirrhitidae': 0.27, 'Lethrinidae': 13.72, 'Acanthuridae': 118.03, 'Aulostomidae': 2.48, 'Caesioinidae': 2.9, 'Nemipteridae': 28.52, 'Scorpaenidae': 0.65, 'Synodontidae': 0.71, 'Holocentridae': 3.04, 'Microdesmidae': 1.35, 'Monacanthidae': 7.96, 'Pinguipedidae': 0.24, 'Pomacanthidae': 13.78, 'Pomacentridae': 45.13, 'Carcharhinidae': 99.67, 'Chaetodontidae': 37.14, 'Tetraodontidae': 0.77, 'Pseudochromidae': 0.01}",,,Coral/Algae,Reef Slope,0.04885,0.823400003,0.761780002,0.0987,-0.13358,-0.288020001,2.136223886,1.934524781,0.000389261,2198.605598,0,0,0.412896647,2edcf2c4-c2ba-400b-99c4-68063c9be041,be3c921f-76eb-498c-836a-f2557cbd1ea3,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,2edcf2c4-c2ba-400b-99c4-68063c9be041,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Tenggara,-6.83133,120.81421,semi-exposed,fringing,fore reef,2019,10,20,high,>10m - excellent,low,5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,714.21,"{'omnivore': 136.65, 'piscivore': 196.88, 'planktivore': 167.71, 'invertivore-mobile': 81.21, 'invertivore-sessile': 14.06, 'herbivore-macroalgae': 4.01, 'herbivore-detritivore': 113.69}","{'Gobiidae': 0.14, 'Labridae': 40.72, 'Mullidae': 6.55, 'Scaridae': 139.7, 'Siganidae': 22.61, 'Balistidae': 75.84, 'Blenniidae': 0.88, 'Ephippidae': 19.15, 'Haemulidae': 53.3, 'Lutjanidae': 21.14, 'Muraenidae': 2.06, 'Serranidae': 43.41, 'Cirrhitidae': 0.49, 'Lethrinidae': 5.55, 'Ostraciidae': 0.28, 'Pempheridae': 16.94, 'Acanthuridae': 29.54, 'Aulostomidae': 5.85, 'Nemipteridae': 8.08, 'Ophichthidae': 7.55, 'Scorpaenidae': 0.8, 'Sphyraenidae': 11.66, 'Synodontidae': 0.95, 'Fistulariidae': 90.49, 'Malacanthidae': 0.07, 'Microdesmidae': 0.35, 'Monacanthidae': 7.16, 'Pomacanthidae': 8.07, 'Pomacentridae': 86.13, 'Priacanthidae': 1.29, 'Chaetodontidae': 5.31, 'Tetraodontidae': 0.44, 'Pseudochromidae': 1.72}",,,Rock,Reef Crest,0.049,0.823399999,0.761779999,0.09856,-0.13243,-0.28319,2.083233931,2.319336174,0.000101837,2198.605589,0,0,0.408879178,1fda4ac7-08ad-47c1-aed7-bfca1377f041,b94fc575-97af-4b74-b08e-198936a7ad74,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,1fda4ac7-08ad-47c1-aed7-bfca1377f041,public summary
Taka Bonerate NP-2019,Indonesia,Kayuadi Timur,-6.78968,120.8084,exposed,fringing,fore reef,2019,10,21,high,>10m - excellent,low,5,Control,Kontrol,2018,,"community, local government, government, NGO",none,open access,6,1160.24,"{'omnivore': 86.56, 'piscivore': 475.33, 'planktivore': 232.71, 'invertivore-mobile': 188.64, 'invertivore-sessile': 17.39, 'herbivore-macroalgae': 28.57, 'herbivore-detritivore': 131.05}","{'Bothidae': 1.37, 'Labridae': 71.53, 'Mullidae': 45.58, 'Scaridae': 153.12, 'Siganidae': 1.39, 'Zanclidae': 23.94, 'Apogonidae': 0.4, 'Balistidae': 53.32, 'Blenniidae': 0.47, 'Dasyatidae': 2.38, 'Haemulidae': 1.79, 'Lutjanidae': 14.17, 'Plotosidae': 2.16, 'Serranidae': 35.52, 'Cirrhitidae': 0.71, 'Lethrinidae': 1.74, 'Ostraciidae': 0.42, 'Acanthuridae': 54.57, 'Caesioinidae': 111.4, 'Nemipteridae': 28.88, 'Sphyraenidae': 11.66, 'Synodontidae': 0.24, 'Malacanthidae': 1.94, 'Monacanthidae': 4.73, 'Pinguipedidae': 6.28, 'Pomacanthidae': 17.23, 'Pomacentridae': 81.54, 'Carcharhinidae': 409.86, 'Chaetodontidae': 21.47, 'Tetraodontidae': 0.41, 'Pseudochromidae': 0.07}",,,Coral/Algae,Reef Slope,0.04859,0.839519996,0.761779997,0.10099,-0.136359999,-0.339159998,2.193224261,1.923998109,0,1674.961601,0,0,0.322755916,227d42e1-c541-41c6-a014-83fb35ad20a5,f0464289-fe03-47dc-94b0-581972d1f5f7,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,07c3fcbc-db80-4352-85ef-320c591e724a,227d42e1-c541-41c6-a014-83fb35ad20a5,public summary
Taka Bonerate NP-2019,Indonesia,Lantigiang Barat Daya,-6.70882,120.95501,exposed,atoll,fore reef,2019,10,13,low,>10m - excellent,low,5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,673.05,"{'omnivore': 82.6, 'piscivore': 155.3, 'planktivore': 102.04, 'invertivore-mobile': 89.42, 'invertivore-sessile': 35.03, 'herbivore-macroalgae': 17.31, 'herbivore-detritivore': 191.36}","{'Labridae': 8.73, 'Mullidae': 32.41, 'Scaridae': 127.34, 'Siganidae': 6.3, 'Zanclidae': 17.63, 'Apogonidae': 0.25, 'Balistidae': 55.4, 'Blenniidae': 0.27, 'Haemulidae': 4.84, 'Lutjanidae': 5.16, 'Serranidae': 11.99, 'Cirrhitidae': 0.13, 'Lethrinidae': 1.23, 'Acanthuridae': 165.38, 'Aulostomidae': 18.04, 'Nemipteridae': 2.46, 'Scorpaenidae': 1.6, 'Holocentridae': 134.71, 'Microdesmidae': 0.04, 'Monacanthidae': 0.89, 'Pomacanthidae': 20.33, 'Pomacentridae': 25.96, 'Chaetodontidae': 31.7, 'Tetraodontidae': 0.29}",,,,Plateau,0.05124,0.95761,0.76178,0.1028,-0.13433,-0.45964,2.018045965,0.00082479,0,76.01996422,0,0,0.254364294,89f78814-c3b6-4883-8d0f-f82c018ab2de,ea93826d-b14e-47ef-bc85-9c0a04317186,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,89f78814-c3b6-4883-8d0f-f82c018ab2de,public summary
Taka Bonerate NP-2019,Indonesia,Lantigiang Timur,-6.70094,120.97813,semi-exposed,atoll,fore reef,2019,10,13,high,>10m - excellent,moderate,5,Utility / Tourism,Zona Pemanfaatan,2018,,"community, local government, government, NGO",low,no take,6,403.17,"{'omnivore': 62.72, 'piscivore': 37.61, 'planktivore': 135.23, 'invertivore-mobile': 91.5, 'invertivore-sessile': 2.96, 'herbivore-macroalgae': 1.9, 'herbivore-detritivore': 71.26}","{'Bothidae': 0.13, 'Labridae': 27.13, 'Mullidae': 16.56, 'Scaridae': 47.6, 'Siganidae': 5.21, 'Zanclidae': 2.75, 'Apogonidae': 7.45, 'Balistidae': 1.57, 'Blenniidae': 0.49, 'Carangidae': 9.4, 'Dasyatidae': 2.38, 'Haemulidae': 2.29, 'Lutjanidae': 15.8, 'Serranidae': 6.17, 'Cirrhitidae': 0.32, 'Lethrinidae': 25.54, 'Acanthuridae': 47.21, 'Aulostomidae': 2.48, 'Caesioinidae': 32.21, 'Nemipteridae': 37.16, 'Synodontidae': 0.14, 'Holocentridae': 7.71, 'Pinguipedidae': 0.58, 'Pomacanthidae': 1.0, 'Pomacentridae': 96.71, 'Chaetodontidae': 6.17, 'Tetraodontidae': 0.9, 'Pseudochromidae': 0.15}",,,Sand,Shallow Lagoon,0.05124,0.95761,0.76178,0.1028,-0.13433,-0.45964,2.018045965,0.00082479,0,76.01996422,0,0,0.254364294,a8881c41-3993-4106-bd98-87614e53b1fe,4e6da186-f71d-4325-905b-5c11311dccab,bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,,https://datamermaid.org/contact-project?project_id=bcb1f115-804d-4b23-a278-9f6fcbb8fa5c,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}, {'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,b26c5309-c104-441a-a8b8-cfa2bcbb85dc,a8881c41-3993-4106-bd98-87614e53b1fe,public summary
