project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,percent_cover_by_benthic_category_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_benthicpit
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN2,-5.18717,122.73701,exposed,fringing,channel,2021,3,30,"low, rising",5-10m - fair,"low, moderate",6,Reserve,Kawasan Larang Ambil (KLA),2021,18948,government,full,no take,3,"{'Sand': 2.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 68.67, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 28.0, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.05014,0.36565,0.76178,0.17393,0.00542,-0.28,1.654174459,150.1085663,2.76400733,5331.664095,0,0,0.523450003,6551e75e-cc74-44e5-ab44-6df7172150ec,0099b227-8927-474b-b741-451cc35e5678,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,ae36a323-d4e5-47d2-bb04-25e7ef3406c3,6551e75e-cc74-44e5-ab44-6df7172150ec,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN3,-5.20359,122.72163,exposed,fringing,channel,2021,3,30,low,5-10m - fair,low,7.33,Reserve,Kawasan Larang Ambil (KLA),2021,18948,government,full,no take,3,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 30.33, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 69.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}",,,Rock,Reef Crest,0.05864,0.36565,0.76178,0.17198,0.08667,-0.14463,1.559311792,196.6465912,3.540221214,8164.096178,0,0,0.532795007,a93fbc8d-0b5c-4e06-a251-0025b55c7cfd,a24d91f5-522f-43ec-bfff-3a319cd17e53,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,ae36a323-d4e5-47d2-bb04-25e7ef3406c3,a93fbc8d-0b5c-4e06-a251-0025b55c7cfd,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN4,-5.25015,122.70133,exposed,fringing,channel,2021,3,29,low,5-10m - fair,low,5,Reserve,Kawasan Larang Ambil (KLA),2021,18948,government,full,no take,3,"{'Sand': 19.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 62.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 15.67, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}",,,,,0.062785978,0.365650006,0.761780012,0.170245098,0.122284481,-0.053365117,1.34365628,21.69115785,0.390505102,13249.0564,0,0,0.289565905,23332e8a-d87a-4500-9db6-cd6c92c6fff2,a853ecf3-2d62-4d01-8eb2-0633f93ec4b3,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,ae36a323-d4e5-47d2-bb04-25e7ef3406c3,23332e8a-d87a-4500-9db6-cd6c92c6fff2,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN6,-5.28555,122.68118,exposed,fringing,channel,2021,3,29,low,5-10m - fair,low,5,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 14.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.67, 'Macroalgae': 0.0, 'Soft coral': 1.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 22.33, 'Other invertebrates': 5.67, 'Crustose coralline algae': 0.0}",,,,,0.05869,0.365649998,0.761779996,0.170549999,0.096659999,-0.186739999,1.512134329,336.3388348,6.636323415,11489.59322,0,0,0.543975838,f3bf45c8-ed6e-4896-ad50-185959a08232,2104fcce-5655-4e86-9be3-b19077969750,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,f3bf45c8-ed6e-4896-ad50-185959a08232,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN7,-5.23989,122.73993,exposed,fringing,channel,2021,3,30,low,1-5m - poor,moderate,3,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 62.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 29.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.05864,0.36565,0.76178,0.17198,0.08667,-0.14463,1.559311792,196.6465912,3.540221214,8164.096178,0,0,0.532795007,4fd1884b-9a1d-45bd-83a4-5520195a8b3c,6ca2e48c-944b-4f41-b898-b00bf3f75f70,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,4fd1884b-9a1d-45bd-83a4-5520195a8b3c,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KAPUN8,-5.16226,122.74267,exposed,fringing,channel,2021,3,30,slack,5-10m - fair,moderate,7,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 88.67, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 9.67, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}",,,Rock,Sheltered Reef Slope,0.05014,0.36565,0.76178,0.17393,0.00542,-0.28,1.654174459,150.1085663,2.76400733,5331.664095,0,0,0.523450003,bf0eeb0c-1569-4702-ab06-375c45c71326,a3731bb7-0c15-4669-a734-9996241eef32,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,bf0eeb0c-1569-4702-ab06-375c45c71326,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KULIS1,-4.81342,123.12096,exposed,fringing,fore reef,2021,4,11,low,5-10m - fair,low,6,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 2.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 60.67, 'Macroalgae': 8.67, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.0421,-0.39337,0.76178,0.17793,0.20326,-0.11924,1.38400603,70.18055725,1.20958364,3079.265915,0,0,0.495473298,a7ed7f1b-b5e4-4fc4-9a0d-656e58d37233,7fefc352-68ed-4655-8b8b-3df204aa523c,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,a7ed7f1b-b5e4-4fc4-9a0d-656e58d37233,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KULIS2,-4.84111,123.12006,exposed,fringing,fore reef,2021,4,11,low,5-10m - fair,low,5,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 0.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.67, 'Macroalgae': 0.33, 'Soft coral': 1.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 40.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.0421,-0.39337,0.76178,0.17793,0.20326,-0.11924,1.38400603,70.18055725,1.20958364,3079.265915,0,0,0.495473298,c1b9f507-89b0-4301-96f5-e65c671ac129,b70d8a2d-be9e-4d52-9a05-6dd3b156b22b,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,c1b9f507-89b0-4301-96f5-e65c671ac129,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KULIS3,-4.78552,123.15209,exposed,fringing,fore reef,2021,4,11,high,"1-5m - poor, 5-10m - fair",low,6,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 24.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 47.67, 'Macroalgae': 0.0, 'Soft coral': 3.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 22.67, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}",,,Rock,Sheltered Reef Slope,0.0385,-0.39337,0.76178,0.17799,0.15625,-0.10603,1.557745525,73.32762909,1.174486041,2795.873245,0,0,0.4969533,a92ca593-137e-48c9-b9d9-4c5ad2b04987,d688b573-713b-4b50-bb86-993d42857f66,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,a92ca593-137e-48c9-b9d9-4c5ad2b04987,public summary
SE Sulawesi Monitoring Biofisik 2021,Indonesia,KULIS6,-4.83437,123.1691,exposed,fringing,fore reef,2021,4,11,low,>10m - excellent,moderate,6,Managed Access,Pengelolaan Akses Area Perikanan (PAAP),2021,335453,government,full,"gear restriction,size limits,access restriction",3,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 75.67, 'Macroalgae': 0.33, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.0, 'Other invertebrates': 3.33, 'Crustose coralline algae': 0.0}",,,Rock,Sheltered Reef Slope,0.03662,-0.39337,0.76178,0.17672,0.13887,-0.13037,1.455809101,58.58918762,1.411274195,1869.17701,0,0,0.485901031,d046228a-9e8d-4bab-83b5-c8ed07635d48,5c3d2b9e-9ac3-45a6-a098-8319781f1434,76fc53e6-8286-41e2-807a-96ab042fbf6a,,https://datamermaid.org/contact-project?project_id=76fc53e6-8286-41e2-807a-96ab042fbf6a,"[{'id': '6256aece-99b6-4d84-a2f7-c42e145b6ad4', 'name': 'Rare'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8abc59e2-2758-45d5-a8b6-8d30cfd08deb,d046228a-9e8d-4bab-83b5-c8ed07635d48,public summary
