project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Karimunjawa NP 2016,Indonesia,Batu Putih,-5.80503,110.49186,semi-exposed,fringing,back reef,2016,5,11,,5-10m - fair,,3,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",3,350.64,"{'omnivore': 109.93, 'piscivore': 46.51, 'planktivore': 80.42, 'invertivore-mobile': 48.15, 'invertivore-sessile': 7.1, 'herbivore-detritivore': 58.53}","{'Labridae': 22.13, 'Scaridae': 32.85, 'Siganidae': 14.43, 'Haemulidae': 21.8, 'Lutjanidae': 20.57, 'Serranidae': 5.1, 'Acanthuridae': 0.83, 'Caesioinidae': 61.97, 'Nemipteridae': 4.07, 'Sphyraenidae': 8.5, 'Monacanthidae': 1.13, 'Pomacentridae': 129.72, 'Chaetodontidae': 6.34, 'Tetraodontidae': 21.19}",,,Coral/Algae,Reef Slope,0.06599,-1.093280005,0.761780004,0.161840001,0.688130003,0.576040003,9.049146244,11.33100896,0,39129.7292,0,5588.000026,0.578407076,72f13db8-fdaf-4a50-9a2a-3226035e70b4,f2a65465-2ad1-48f8-9d9f-d56745789319,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,bd09a8c3-ff7b-4982-a0f6-76fb2dadfa3d,72f13db8-fdaf-4a50-9a2a-3226035e70b4,public summary
Karimunjawa NP 2016,Indonesia,Batu Putih,-5.80503,110.49186,semi-exposed,fringing,back reef,2016,11,5,,5-10m - fair,,9,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",3,1073.02,"{'omnivore': 94.23, 'piscivore': 29.71, 'planktivore': 646.89, 'invertivore-mobile': 105.18, 'invertivore-sessile': 15.71, 'herbivore-detritivore': 181.31}","{'Labridae': 44.32, 'Mullidae': 2.93, 'Scaridae': 145.81, 'Apogonidae': 3.25, 'Dasyatidae': 2.18, 'Lutjanidae': 71.26, 'Serranidae': 2.79, 'Acanthuridae': 6.04, 'Caesioinidae': 583.67, 'Nemipteridae': 2.33, 'Pomacanthidae': 14.0, 'Pomacentridae': 187.15, 'Chaetodontidae': 7.29}",,,Coral/Algae,Reef Slope,0.06599,-1.093280005,0.761780004,0.161840001,0.688130003,0.576040003,9.049146244,11.33100896,0,39129.7292,0,5588.000026,0.578407076,e6cd2dcb-cc07-4ec9-a767-80c669f4f4f7,f2a65465-2ad1-48f8-9d9f-d56745789319,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,bd09a8c3-ff7b-4982-a0f6-76fb2dadfa3d,e6cd2dcb-cc07-4ec9-a767-80c669f4f4f7,public summary
Karimunjawa NP 2016,Indonesia,Bengkoang,-5.74239,110.41747,exposed,fringing,fore reef,2016,5,16,,>10m - excellent,,5.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,512.3,"{'omnivore': 115.71, 'piscivore': 31.14, 'planktivore': 144.88, 'invertivore-mobile': 49.09, 'invertivore-sessile': 17.88, 'herbivore-detritivore': 153.61}","{'Labridae': 27.72, 'Scaridae': 201.16, 'Siganidae': 4.07, 'Apogonidae': 0.72, 'Balistidae': 2.26, 'Blenniidae': 0.16, 'Carangidae': 1.81, 'Lutjanidae': 1.7, 'Muraenidae': 8.56, 'Serranidae': 15.55, 'Ostraciidae': 0.5, 'Acanthuridae': 4.3, 'Caesioinidae': 104.48, 'Centriscidae': 0.43, 'Nemipteridae': 4.21, 'Fistulariidae': 7.88, 'Holocentridae': 8.59, 'Pomacanthidae': 9.49, 'Pomacentridae': 96.98, 'Chaetodontidae': 11.73}",,,Coral/Algae,Sheltered Reef Slope,0.04971,-1.093279997,0.761779998,0.16175,0.512519999,0.443099999,7.968982691,0.691040276,0,3646.59838,0,93.99999977,0.500196024,62c8fc45-0dc1-44c2-afb5-a19bfad650e4,a2db2c8a-0a86-4c07-8549-124311e105ac,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96125620-98fa-41ce-9fc8-436771e2996a,62c8fc45-0dc1-44c2-afb5-a19bfad650e4,public summary
Karimunjawa NP 2016,Indonesia,Burung,-5.89102,110.34657,exposed,fringing,fore reef,2016,5,17,,>10m - excellent,,5.5,Protection,,2012,,"community, local government, government, NGO",full,no take,6,411.75,"{'omnivore': 68.53, 'piscivore': 29.67, 'planktivore': 77.11, 'invertivore-mobile': 70.21, 'invertivore-sessile': 16.89, 'herbivore-detritivore': 149.35}","{'Labridae': 43.79, 'Scaridae': 108.1, 'Siganidae': 3.58, 'Apogonidae': 12.63, 'Haemulidae': 0.98, 'Lutjanidae': 12.73, 'Serranidae': 9.16, 'Lethrinidae': 5.14, 'Ostraciidae': 0.26, 'Acanthuridae': 16.7, 'Caesioinidae': 1.88, 'Nemipteridae': 3.39, 'Holocentridae': 5.17, 'Pomacanthidae': 13.0, 'Pomacentridae': 166.68, 'Chaetodontidae': 8.57}",,,,Sheltered Reef Slope,0.095350001,-0.298690003,0.761780007,0.152730001,0.704220007,0.620190006,9.717731348,0.639564103,0,807.6643904,0,27.00000025,0.464678521,4ae7cdfc-e1aa-4494-8725-88cc752db364,4a79121e-1fe2-4c0a-a780-ecf598f75001,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a717df03-5dfd-4c9f-9f63-b219eb4a2a7e,4ae7cdfc-e1aa-4494-8725-88cc752db364,public summary
Karimunjawa NP 2016,Indonesia,Cemara Besar 1,-5.80675,110.37822,semi-exposed,fringing,back reef,2016,5,16,,>10m - excellent,,5.33,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,537.74,"{'omnivore': 136.08, 'piscivore': 34.17, 'planktivore': 159.33, 'invertivore-mobile': 70.28, 'invertivore-sessile': 23.34, 'herbivore-detritivore': 114.55}","{'Labridae': 39.9, 'Scaridae': 145.68, 'Siganidae': 3.02, 'Apogonidae': 23.84, 'Blenniidae': 0.91, 'Lutjanidae': 8.2, 'Serranidae': 6.76, 'Acanthuridae': 1.21, 'Caesioinidae': 122.66, 'Centriscidae': 0.47, 'Nemipteridae': 8.2, 'Fistulariidae': 10.16, 'Pomacanthidae': 24.56, 'Pomacentridae': 130.94, 'Chaetodontidae': 10.5, 'Tetraodontidae': 0.76}",,,Rock,Sheltered Reef Slope,0.089660001,-0.298690004,0.761780011,0.156580002,0.641410009,0.561020008,8.323100225,3.869975624,0,19318.78031,0,525.0000077,0.549402785,46bb9d59-491b-4c29-b342-b37ccc04b07b,f0b40904-53b0-43e8-bb83-e17a943815ef,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,bd09a8c3-ff7b-4982-a0f6-76fb2dadfa3d,46bb9d59-491b-4c29-b342-b37ccc04b07b,public summary
Karimunjawa NP 2016,Indonesia,Cemara Besar 2,-5.8031,110.38098,semi-exposed,fringing,back reef,2016,5,14,,5-10m - fair,,5.5,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,"gear restriction,size limits,species restriction",6,479.57,"{'omnivore': 61.63, 'piscivore': 34.06, 'planktivore': 214.97, 'invertivore-mobile': 67.84, 'invertivore-sessile': 13.96, 'herbivore-macroalgae': 1.58, 'herbivore-detritivore': 85.54}","{'Gobiidae': 0.02, 'Labridae': 29.02, 'Scaridae': 64.75, 'Siganidae': 3.48, 'Apogonidae': 8.03, 'Balistidae': 0.54, 'Blenniidae': 0.04, 'Dasyatidae': 0.86, 'Lutjanidae': 29.88, 'Serranidae': 2.32, 'Acanthuridae': 1.74, 'Caesioinidae': 181.45, 'Nemipteridae': 19.37, 'Pomacanthidae': 5.98, 'Pomacentridae': 120.72, 'Chaetodontidae': 8.46, 'Tetraodontidae': 2.91}",,,,Sheltered Reef Slope,0.08966,-0.298689999,0.761779997,0.156579999,0.641409998,0.561019998,8.323100071,3.869975552,0,19318.77996,0,524.999998,0.549402775,b5220311-3c56-4393-96ef-cd9bc48fb23e,7211a9c5-c5ad-44db-9d94-2fce0f2ea084,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,bd09a8c3-ff7b-4982-a0f6-76fb2dadfa3d,b5220311-3c56-4393-96ef-cd9bc48fb23e,public summary
Karimunjawa NP 2016,Indonesia,Cemara Kecil 1,-5.83129,110.38224,semi-exposed,fringing,fore reef,2016,5,12,,5-10m - fair,,5,Protection,,2012,,"community, local government, government, NGO",full,no take,6,251.83,"{'omnivore': 43.07, 'piscivore': 20.24, 'planktivore': 62.85, 'invertivore-mobile': 47.15, 'invertivore-sessile': 14.51, 'herbivore-detritivore': 64.01}","{'Labridae': 30.06, 'Scaridae': 37.24, 'Siganidae': 3.6, 'Zanclidae': 1.12, 'Apogonidae': 9.89, 'Blenniidae': 0.25, 'Ephippidae': 2.1, 'Lutjanidae': 5.42, 'Serranidae': 2.15, 'Lethrinidae': 5.33, 'Acanthuridae': 7.11, 'Caesioinidae': 1.84, 'Nemipteridae': 6.03, 'Pomacanthidae': 1.46, 'Pomacentridae': 129.61, 'Chaetodontidae': 8.0, 'Tetraodontidae': 0.64}",,,,Plateau,0.089660001,-0.298690002,0.761780005,0.156580001,0.641410005,0.561020004,8.323100162,3.869975594,0,19318.78017,0,525.0000037,0.549402781,693f06ab-b10f-4b35-9519-02e233d61c76,39f40e9c-76e1-47c2-b56d-fcc24f9aab83,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a717df03-5dfd-4c9f-9f63-b219eb4a2a7e,693f06ab-b10f-4b35-9519-02e233d61c76,public summary
Karimunjawa NP 2016,Indonesia,Cemara Kecil 2,-5.833226,110.381165,semi-exposed,fringing,fore reef,2016,5,12,,5-10m - fair,,6.6,Protection,,2012,,"community, local government, government, NGO",full,no take,5,188.04,"{'omnivore': 44.36, 'piscivore': 9.11, 'planktivore': 36.23, 'invertivore-mobile': 34.37, 'invertivore-sessile': 18.95, 'herbivore-detritivore': 45.02}","{'Labridae': 21.01, 'Scaridae': 22.26, 'Siganidae': 0.48, 'Apogonidae': 11.66, 'Serranidae': 3.67, 'Acanthuridae': 0.74, 'Caesioinidae': 9.51, 'Nemipteridae': 3.85, 'Pomacanthidae': 11.44, 'Pomacentridae': 95.13, 'Chaetodontidae': 8.28}",,,Coral/Algae,Reef Slope,0.089660002,-0.298690005,0.761780014,0.156580003,0.641410011,0.56102001,8.323100252,3.869975636,0,19318.78037,0,525.0000094,0.549402787,75c500ac-5ad1-4c80-afcc-f64d346ded3e,34e7d2ab-13d4-448e-9412-259ee47fa518,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a717df03-5dfd-4c9f-9f63-b219eb4a2a7e,75c500ac-5ad1-4c80-afcc-f64d346ded3e,public summary
Karimunjawa NP 2016,Indonesia,Cendekian,-5.80419,110.55876,exposed,fringing,fore reef,2016,5,8,,>10m - excellent,,5.25,Open access,,2005,,"community, local government, government, NGO",none,open access,6,560.73,"{'omnivore': 73.29, 'piscivore': 52.5, 'planktivore': 250.52, 'invertivore-mobile': 34.16, 'invertivore-sessile': 18.36, 'herbivore-detritivore': 131.91}","{'Gobiidae': 0.03, 'Labridae': 25.83, 'Scaridae': 144.31, 'Siganidae': 5.54, 'Apogonidae': 9.05, 'Carangidae': 4.41, 'Lutjanidae': 15.83, 'Serranidae': 13.53, 'Ostraciidae': 0.37, 'Acanthuridae': 4.1, 'Caesioinidae': 203.44, 'Nemipteridae': 1.25, 'Fistulariidae': 7.88, 'Pomacanthidae': 13.33, 'Pomacentridae': 98.5, 'Chaetodontidae': 7.33, 'Tetraodontidae': 6.03}",,,Coral/Algae,Sheltered Reef Slope,0.06847,-1.093280004,0.761780003,0.166980001,0.723140003,0.525670002,9.612508236,1.376556044,0,3564.977607,0,94.00000037,0.50680287,050cc025-9462-4c32-90e0-85c97e0cc29e,45977baf-3c6c-4916-b575-7cc3c021ccd8,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,e2cc898b-62ab-4d35-995c-6e45579d84bc,050cc025-9462-4c32-90e0-85c97e0cc29e,public summary
Karimunjawa NP 2016,Indonesia,Gelean,-5.88023,110.3594,exposed,fringing,fore reef,2016,5,17,,>10m - excellent,,5.5,Protection,,2012,,"community, local government, government, NGO",full,no take,6,509.32,"{'omnivore': 50.22, 'piscivore': 37.41, 'planktivore': 222.77, 'invertivore-mobile': 96.09, 'invertivore-sessile': 25.35, 'herbivore-detritivore': 77.48}","{'Labridae': 27.53, 'Mullidae': 0.72, 'Scaridae': 48.71, 'Siganidae': 0.68, 'Apogonidae': 14.37, 'Balistidae': 1.49, 'Ephippidae': 4.25, 'Lutjanidae': 25.38, 'Serranidae': 17.43, 'Ostraciidae': 0.5, 'Acanthuridae': 7.84, 'Caesioinidae': 155.71, 'Nemipteridae': 27.84, 'Pomacanthidae': 12.49, 'Pomacentridae': 150.89, 'Chaetodontidae': 11.76, 'Tetraodontidae': 1.73}",,,Coral/Algae,Sheltered Reef Slope,0.09651,-0.29869,0.761780001,0.15534,0.709730001,0.652940001,9.995258165,3.891324525,0,21252.17861,0,830.000001,0.55661375,54807cd6-9551-4c75-95b0-10c7fa3d5712,3c287749-e234-4668-b28d-11d684babd19,6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,,https://datamermaid.org/contact-project?project_id=6457d207-8b4c-47a7-9b1b-bdbe15e81a4f,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a717df03-5dfd-4c9f-9f63-b219eb4a2a7e,54807cd6-9551-4c75-95b0-10c7fa3d5712,public summary
