project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,percent_cover_by_benthic_category_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_benthicpit
Karimunjawa NP 2019,Indonesia,Batu Putih,-5.80503,110.49186,semi-exposed,fringing,back reef,2019,3,31,falling,5-10m - fair,low,4.5,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,gear restriction,8,"{'Sand': 8.88, 'Other': 0.0, 'Rubble': 22.88, 'Seagrass': 0.0, 'Hard coral': 40.0, 'Macroalgae': 3.63, 'Soft coral': 1.38, 'Turf algae': 21.13, 'Cyanobacteria': 0.0, 'Bare substrate': 0.13, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Reef Slope,0.06599,-1.093280003,0.761780002,0.16184,0.688130002,0.576040002,9.049146228,11.33100894,0,39129.72913,0,5588.000016,0.578407075,dce1b749-41c9-48a6-a01f-5f192dd27943,21aec9f0-f376-4e17-89c2-c5b59c7cac07,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8b90a8ba-87a0-4cb8-bf11-03828f53a54c,dce1b749-41c9-48a6-a01f-5f192dd27943,public summary
Karimunjawa NP 2019,Indonesia,Bengkoang,-5.74239,110.41747,exposed,fringing,fore reef,2019,4,1,falling,">10m - excellent, 5-10m - fair",moderate,4.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,8,"{'Sand': 0.63, 'Other': 0.0, 'Rubble': 15.75, 'Seagrass': 0.0, 'Hard coral': 58.38, 'Macroalgae': 0.88, 'Soft coral': 3.0, 'Turf algae': 20.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.5, 'Other invertebrates': 0.63, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.049709999,-1.093279988,0.761779992,0.161749998,0.512519994,0.443099995,7.968982622,0.69104027,0,3646.598348,0,93.99999896,0.50019602,525662ae-a6e7-45e2-ad9f-8fca7b0ec818,be415e09-e013-41a7-87f4-ba8cd9ee7dd6,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,525662ae-a6e7-45e2-ad9f-8fca7b0ec818,public summary
Karimunjawa NP 2019,Indonesia,Burung,-5.89102,110.34657,exposed,fringing,fore reef,2019,4,2,rising,>10m - excellent,low,5,Tourism,,2005,,"community, local government, government, NGO",low,no take,8,"{'Sand': 1.38, 'Other': 0.0, 'Rubble': 17.0, 'Seagrass': 0.0, 'Hard coral': 49.88, 'Macroalgae': 1.13, 'Soft coral': 10.63, 'Turf algae': 17.63, 'Cyanobacteria': 0.0, 'Bare substrate': 0.13, 'Other invertebrates': 2.25, 'Crustose coralline algae': 0.0}",,,,Sheltered Reef Slope,0.095349999,-0.298689997,0.761779992,0.152729998,0.704219993,0.620189994,9.717731158,0.63956409,0,807.6643747,0,26.99999972,0.464678512,40fcd6ac-c514-45d4-8a3e-b01fb703e1b9,7255077f-bfaf-4431-b6a7-9bd8b6e3f919,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,40fcd6ac-c514-45d4-8a3e-b01fb703e1b9,public summary
Karimunjawa NP 2019,Indonesia,Cemara Besar 1,-5.80675,110.37822,semi-exposed,fringing,back reef,2019,3,30,falling,5-10m - fair,moderate,4.5,Protection,,2012,,"community, local government, government, NGO",somewhat,no take,8,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 21.63, 'Seagrass': 0.0, 'Hard coral': 60.5, 'Macroalgae': 2.63, 'Soft coral': 0.63, 'Turf algae': 13.13, 'Cyanobacteria': 0.0, 'Bare substrate': 0.13, 'Other invertebrates': 0.38, 'Crustose coralline algae': 0.0}",,,Rock,Sheltered Reef Slope,0.089659999,-0.298689997,0.761779992,0.156579998,0.641409993,0.561019994,8.323100014,3.869975526,0,19318.77982,0,524.9999944,0.549402771,c8755afa-1bcb-4359-80f0-f1c2f417f35d,f30ced5f-2622-4060-b107-65d004e6c379,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,402fc76a-a363-4009-a2e3-aba2a38e14ed,c8755afa-1bcb-4359-80f0-f1c2f417f35d,public summary
Karimunjawa NP 2019,Indonesia,Cemara Besar 2,-5.8031,110.38098,semi-exposed,fringing,back reef,2019,4,1,high,5-10m - fair,moderate,4.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,8,"{'Sand': 1.5, 'Other': 0.0, 'Rubble': 14.63, 'Seagrass': 0.0, 'Hard coral': 65.38, 'Macroalgae': 0.63, 'Soft coral': 1.63, 'Turf algae': 15.13, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.13, 'Crustose coralline algae': 0.0}",,,,Sheltered Reef Slope,0.089659999,-0.298689998,0.761779994,0.156579999,0.641409995,0.561019996,8.323100039,3.869975537,0,19318.77988,0,524.999996,0.549402773,318b74ee-29e2-44e2-b916-bea57720b1d3,9ec6f187-6d6c-49a8-aabe-7bc59695109e,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,318b74ee-29e2-44e2-b916-bea57720b1d3,public summary
Karimunjawa NP 2019,Indonesia,Cemara Kecil 1,-5.83129,110.38224,semi-exposed,fringing,fore reef,2019,4,1,falling,>10m - excellent,moderate,4.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,8,"{'Sand': 4.0, 'Other': 0.0, 'Rubble': 16.38, 'Seagrass': 0.13, 'Hard coral': 53.25, 'Macroalgae': 0.63, 'Soft coral': 0.25, 'Turf algae': 24.38, 'Cyanobacteria': 0.0, 'Bare substrate': 0.5, 'Other invertebrates': 0.5, 'Crustose coralline algae': 0.0}",,,,Plateau,0.089660001,-0.298690002,0.761780004,0.156580001,0.641410004,0.561020003,8.323100149,3.869975588,0,19318.78014,0,525.0000029,0.54940278,3f6671e3-56ac-4272-bd44-7315aaf7c3aa,b0936fb0-c0c3-41d8-a4f5-86c7a4104f08,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,3f6671e3-56ac-4272-bd44-7315aaf7c3aa,public summary
Karimunjawa NP 2019,Indonesia,Cemara Kecil 2,-5.833226,110.381165,semi-exposed,fringing,fore reef,2019,4,3,low,>10m - excellent,low,5.5,Protection,,2012,,"community, local government, government, NGO",somewhat,no take,8,"{'Sand': 4.63, 'Other': 0.0, 'Rubble': 12.25, 'Seagrass': 0.0, 'Hard coral': 65.75, 'Macroalgae': 1.38, 'Soft coral': 0.38, 'Turf algae': 15.38, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.25, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Reef Slope,0.089660002,-0.298690005,0.761780014,0.156580003,0.641410011,0.56102001,8.323100252,3.869975636,0,19318.78037,0,525.0000094,0.549402787,d139a970-e86b-4b15-92b2-7603e712e768,a28506df-de01-412e-967a-dddf4e9e52a6,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,402fc76a-a363-4009-a2e3-aba2a38e14ed,d139a970-e86b-4b15-92b2-7603e712e768,public summary
Karimunjawa NP 2019,Indonesia,Cendekian,-5.80419,110.55876,exposed,fringing,fore reef,2019,3,27,low,">10m - excellent, 5-10m - fair",low,4.5,Open access,,2005,,"community, local government, government, NGO",none,open access,8,"{'Sand': 0.25, 'Other': 0.0, 'Rubble': 8.75, 'Seagrass': 0.0, 'Hard coral': 67.25, 'Macroalgae': 8.5, 'Soft coral': 1.63, 'Turf algae': 13.13, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.5, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.06847,-1.093280004,0.761780003,0.166980001,0.723140003,0.525670002,9.612508236,1.376556044,0,3564.977607,0,94.00000037,0.50680287,32583c93-1a7c-4b36-b513-5009aa9463f6,033d6633-514a-49b8-9f07-909a3b5de4ec,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,53a6cfee-c85d-44d3-9040-ddd9422ff79c,32583c93-1a7c-4b36-b513-5009aa9463f6,public summary
Karimunjawa NP 2019,Indonesia,Gelean,-5.88023,110.3594,exposed,fringing,fore reef,2019,4,2,falling,>10m - excellent,low,5,Tourism,,2005,,"community, local government, government, NGO",low,no take,8,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 10.13, 'Seagrass': 0.0, 'Hard coral': 69.38, 'Macroalgae': 4.5, 'Soft coral': 1.0, 'Turf algae': 14.63, 'Cyanobacteria': 0.0, 'Bare substrate': 0.13, 'Other invertebrates': 0.25, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Sheltered Reef Slope,0.09651,-0.29869,0.761780001,0.15534,0.709730001,0.652940001,9.995258165,3.891324525,0,21252.17861,0,830.000001,0.55661375,941e140f-22f2-427b-93f2-a2514adf61a1,74016147-73a9-4966-96d9-9c10f4813932,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,941e140f-22f2-427b-93f2-a2514adf61a1,public summary
Karimunjawa NP 2019,Indonesia,Genting 1,-5.86211,110.60538,sheltered,fringing,back reef,2019,3,26,low,5-10m - fair,low,4.5,Open access,,2005,,"community, local government, government, NGO",none,open access,8,"{'Sand': 4.38, 'Other': 0.0, 'Rubble': 27.88, 'Seagrass': 0.0, 'Hard coral': 40.88, 'Macroalgae': 0.25, 'Soft coral': 5.38, 'Turf algae': 20.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}",,,Coral/Algae,Reef Slope,0.102179999,-0.338069996,0.761779992,0.168189998,0.795459991,0.592659993,10.5521876,0.132556258,0,2819.932067,0,44.9999995,0.488006789,cbce6283-cb27-436e-970b-57b551387b87,a7635ca1-d01e-42ee-be07-57f7041c10c1,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,53a6cfee-c85d-44d3-9040-ddd9422ff79c,cbce6283-cb27-436e-970b-57b551387b87,public summary
