project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Liang Ngali MPA 2018,Indonesia,Dangar Rea (N),-8.41902,117.65688,semi-exposed,fringing,fore reef,2018,9,20,,,,2,Fisheries Utilization,Zona Perikanan,2016,,"community, local government, government, NGO, private sector",none,"gear restriction,species restriction",3,283,"{'omnivore': 17.64, 'piscivore': 20.62, 'planktivore': 23.77, 'invertivore-mobile': 83.25, 'invertivore-sessile': 15.24, 'herbivore-detritivore': 122.48}","{'Labridae': 31.86, 'Mullidae': 5.94, 'Scaridae': 117.83, 'Siganidae': 1.11, 'Zanclidae': 4.0, 'Apogonidae': 8.21, 'Lutjanidae': 15.82, 'Serranidae': 1.6, 'Lethrinidae': 1.48, 'Ostraciidae': 0.21, 'Acanthuridae': 16.86, 'Nemipteridae': 16.52, 'Scorpaenidae': 3.2, 'Pinguipedidae': 0.1, 'Pomacentridae': 25.97, 'Chaetodontidae': 26.89, 'Tetraodontidae': 5.4}",,,Coral/Algae,Sheltered Reef Slope,-0.09117,0.74514,0.56823,0.07809,-1.31639,-2.43212,3.597631736,1054.665039,10.12926865,2003.542455,0,8,0.667307398,9e72fc40-4ced-49ba-b585-bb82c16d2ea9,62d45679-7297-43b6-95d2-c0577b39799e,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a5e504ee-cd9b-4a06-8e24-623c55655065,9e72fc40-4ced-49ba-b585-bb82c16d2ea9,public summary
Liang Ngali MPA 2018,Indonesia,Dangar Rea (SE),-8.43359,117.66481,semi-exposed,fringing,fore reef,2018,9,20,falling,>10m - excellent,low,5.5,Core Zone,Zona Inti,2016,,"community, local government, government, NGO, private sector",full,no take,6,183.73,"{'omnivore': 22.19, 'piscivore': 6.9, 'planktivore': 40.38, 'invertivore-mobile': 39.2, 'invertivore-sessile': 4.54, 'herbivore-detritivore': 70.52}","{'Labridae': 18.83, 'Mullidae': 2.47, 'Scaridae': 49.31, 'Siganidae': 9.62, 'Zanclidae': 1.67, 'Apogonidae': 4.39, 'Balistidae': 0.8, 'Lutjanidae': 11.24, 'Serranidae': 0.47, 'Lethrinidae': 0.56, 'Acanthuridae': 25.09, 'Caesioinidae': 15.9, 'Nemipteridae': 2.26, 'Pomacanthidae': 3.6, 'Pomacentridae': 28.08, 'Chaetodontidae': 9.44}",,,Rock,Terrestrial Reef Flat,-0.09117,0.74514,0.56823,0.07809,-1.31639,-2.43212,3.597631736,1054.665039,10.12926865,2003.542455,0,8,0.667307398,7bbbc60d-d38c-4c2e-b7f3-ac4d61a4d93b,ff29fc11-9bfd-4a9d-a7da-65a9f1d3618a,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,c1fccef2-12ac-41d2-a54b-c3dfbb6bb6c3,7bbbc60d-d38c-4c2e-b7f3-ac4d61a4d93b,public summary
Liang Ngali MPA 2018,Indonesia,Gili dua rea,-8.48883,117.75834,semi-exposed,fringing,fore reef,2018,9,24,,,,2,Core Zone,Zona Inti,2016,,"community, local government, government, NGO, private sector",full,no take,3,216.48,"{'omnivore': 25.42, 'piscivore': 8.71, 'planktivore': 16.19, 'invertivore-mobile': 43.12, 'invertivore-sessile': 7.96, 'herbivore-detritivore': 115.07}","{'Labridae': 17.41, 'Scaridae': 104.92, 'Siganidae': 3.96, 'Zanclidae': 9.5, 'Apogonidae': 3.13, 'Dasyatidae': 7.13, 'Lutjanidae': 4.49, 'Serranidae': 5.14, 'Lethrinidae': 3.29, 'Acanthuridae': 17.46, 'Nemipteridae': 3.92, 'Pomacanthidae': 9.55, 'Pomacentridae': 16.01, 'Chaetodontidae': 10.27, 'Tetraodontidae': 0.29}",,,,,-0.14317,0.74514,0.56823,0.0716,-1.8426,-3.00765,2.801125052,609.9818115,7.446930885,1413.684191,0,0,0.526969321,0956dfcd-e44e-40f4-a4c0-456e9868627f,c74e3b52-69b6-43f0-9be6-46ea7fca60a4,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,c1fccef2-12ac-41d2-a54b-c3dfbb6bb6c3,0956dfcd-e44e-40f4-a4c0-456e9868627f,public summary
Liang Ngali MPA 2018,Indonesia,Liang (N),-8.4482,117.66158,semi-exposed,fringing,fore reef,2018,9,22,,,,2,Fisheries Utilization,Zona Perikanan,2016,,"community, local government, government, NGO, private sector",none,"gear restriction,species restriction",3,255.76,"{'omnivore': 70.2, 'piscivore': 8.54, 'planktivore': 16.97, 'invertivore-mobile': 87.73, 'invertivore-sessile': 7.9, 'herbivore-detritivore': 64.42}","{'Labridae': 47.81, 'Mullidae': 0.86, 'Scaridae': 68.08, 'Siganidae': 1.4, 'Apogonidae': 1.75, 'Balistidae': 1.91, 'Blenniidae': 0.11, 'Lutjanidae': 5.03, 'Muraenidae': 23.35, 'Plotosidae': 0.2, 'Serranidae': 2.55, 'Acanthuridae': 47.12, 'Nemipteridae': 5.62, 'Pomacanthidae': 10.09, 'Pomacentridae': 24.79, 'Chaetodontidae': 11.62, 'Tetraodontidae': 3.47}",,,Coral/Algae,Sheltered Reef Slope,-0.09117,0.74514,0.56823,0.07809,-1.31639,-2.43212,3.597631736,1054.665039,10.12926865,2003.542455,0,8,0.667307398,027df14d-6e61-4943-a04b-9e238f25b365,438ea5af-9d9d-4e70-a43f-93756315674c,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a5e504ee-cd9b-4a06-8e24-623c55655065,027df14d-6e61-4943-a04b-9e238f25b365,public summary
Liang Ngali MPA 2018,Indonesia,Liang (S),-8.52406,117.67701,semi-exposed,fringing,fore reef,2018,9,23,falling,5-10m - fair,low,2.5,Fisheries Utilization,Zona Perikanan,2016,,"community, local government, government, NGO, private sector",none,"gear restriction,species restriction",6,166.18,"{'omnivore': 32.7, 'piscivore': 10.94, 'planktivore': 27.81, 'invertivore-mobile': 48.01, 'invertivore-sessile': 10.6, 'herbivore-detritivore': 36.12}","{'Labridae': 21.23, 'Scaridae': 26.95, 'Siganidae': 1.24, 'Apogonidae': 2.05, 'Lutjanidae': 10.12, 'Serranidae': 1.41, 'Acanthuridae': 1.68, 'Caesioinidae': 3.63, 'Nemipteridae': 15.81, 'Pomacanthidae': 8.72, 'Pomacentridae': 52.6, 'Chaetodontidae': 20.77}",,,Coral/Algae,Back Reef Slope,-0.181220001,0.264780002,0.568230003,0.07297,-2.056340012,-3.258350019,2.827492064,2580.036636,13.75691231,5734.883136,0,0,0.562663458,119ecf44-8bde-4e47-a33c-be122bb6df63,688ac8e7-a995-41e8-a6f4-7f4c5456a4a2,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a5e504ee-cd9b-4a06-8e24-623c55655065,119ecf44-8bde-4e47-a33c-be122bb6df63,public summary
Liang Ngali MPA 2018,Indonesia,Ngali (N),-8.4748,117.72924,semi-exposed,fringing,fore reef,2018,9,23,falling,5-10m - fair,low,4.5,Fisheries Utilization,Zona Perikanan,2016,,"community, local government, government, NGO, private sector",none,"gear restriction,species restriction",6,188.69,"{'omnivore': 21.62, 'piscivore': 27.45, 'planktivore': 28.02, 'invertivore-mobile': 58.02, 'invertivore-sessile': 6.16, 'herbivore-macroalgae': 2.23, 'herbivore-detritivore': 45.19}","{'Labridae': 18.55, 'Mullidae': 1.17, 'Scaridae': 46.81, 'Siganidae': 1.19, 'Zanclidae': 4.0, 'Apogonidae': 9.89, 'Balistidae': 1.78, 'Lutjanidae': 9.41, 'Muraenidae': 11.68, 'Serranidae': 2.14, 'Acanthuridae': 10.55, 'Aulostomidae': 7.41, 'Nemipteridae': 16.48, 'Scorpaenidae': 0.53, 'Fistulariidae': 1.54, 'Holocentridae': 6.14, 'Pomacanthidae': 7.47, 'Pomacentridae': 28.52, 'Chaetodontidae': 3.29, 'Tetraodontidae': 0.16}",,,Rock,Sheltered Reef Slope,-0.13712,0.74514,0.56823,0.07313,-1.78003,-2.95216,2.90799696,1173.878052,9.13314724,1836.365669,0,0,0.537396646,42c881aa-ad14-4da1-a53b-24ee26e15057,ea96e656-89f3-4da1-bfa8-415848367f00,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a5e504ee-cd9b-4a06-8e24-623c55655065,42c881aa-ad14-4da1-a53b-24ee26e15057,public summary
Liang Ngali MPA 2018,Indonesia,Owang Balok,-8.53553,117.74933,very sheltered,fringing,fore reef,2018,9,24,falling,1-5m - poor,low,5,Fisheries Utilization,Zona Perikanan,2016,,"community, local government, government, NGO, private sector",none,"gear restriction,species restriction",6,316.32,"{'omnivore': 53.1, 'piscivore': 27.56, 'planktivore': 31.96, 'invertivore-mobile': 58.03, 'invertivore-sessile': 12.5, 'herbivore-macroalgae': 4.87, 'herbivore-detritivore': 128.31}","{'Labridae': 28.77, 'Mullidae': 0.76, 'Scaridae': 67.49, 'Siganidae': 3.52, 'Apogonidae': 44.39, 'Dasyatidae': 5.09, 'Lutjanidae': 5.91, 'Plotosidae': 1.71, 'Serranidae': 2.96, 'Lethrinidae': 1.11, 'Ostraciidae': 2.89, 'Acanthuridae': 32.7, 'Nemipteridae': 1.71, 'Pomacanthidae': 7.23, 'Pomacentridae': 100.01, 'Chaetodontidae': 9.03, 'Tetraodontidae': 1.07}",,,Rock,Sheltered Reef Slope,-0.17417,0.74514,0.56823,0.0715,-2.16804,-3.30904,2.543072236,2064.476318,11.98245335,3595.603091,0,0,0.55112051,a1601157-454b-4cfe-a61f-d61de329a217,dccb6877-feef-4de1-9a9a-68d0b794d3c3,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a5e504ee-cd9b-4a06-8e24-623c55655065,a1601157-454b-4cfe-a61f-d61de329a217,public summary
Liang Ngali MPA 2018,Indonesia,Sea Site,-8.4078,117.44772,exposed,fringing,fore reef,2018,9,26,falling,>10m - excellent,low,4.5,Outside,Open Access,2016,,"community, local government, government, NGO, private sector",none,open access,6,449.93,"{'omnivore': 56.13, 'piscivore': 9.25, 'planktivore': 264.75, 'invertivore-mobile': 59.12, 'invertivore-sessile': 13.67, 'herbivore-macroalgae': 0.43, 'herbivore-detritivore': 46.58}","{'Labridae': 26.27, 'Mullidae': 1.66, 'Scaridae': 30.88, 'Siganidae': 2.76, 'Zanclidae': 20.82, 'Apogonidae': 12.12, 'Balistidae': 0.8, 'Ephippidae': 2.43, 'Lutjanidae': 2.97, 'Serranidae': 6.49, 'Ostraciidae': 0.52, 'Acanthuridae': 37.45, 'Caesioinidae': 182.23, 'Nemipteridae': 0.7, 'Holocentridae': 6.14, 'Pomacanthidae': 4.21, 'Pomacentridae': 85.64, 'Chaetodontidae': 25.77, 'Tetraodontidae': 0.09}",,,Coral/Algae,Sheltered Reef Slope,,,,,,,,,,,,,,7c694dfb-6bac-433f-bc08-e35c4dd09fd3,1ba91368-e705-4221-90b9-51ae990537f7,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,eb9ce0f2-20a1-41d1-b6db-594acbd56af6,7c694dfb-6bac-433f-bc08-e35c4dd09fd3,public summary
Liang Ngali MPA 2018,Indonesia,Tanjung Bantin_Zona Inti,-8.42352,117.59092,semi-exposed,fringing,fore reef,2018,9,19,falling,5-10m - fair,low,4,Core Zone,Zona Inti,2016,,"community, local government, government, NGO, private sector",full,no take,6,249.01,"{'omnivore': 9.05, 'piscivore': 7.06, 'planktivore': 93.72, 'invertivore-mobile': 56.94, 'invertivore-sessile': 4.52, 'herbivore-detritivore': 77.72}","{'Labridae': 31.82, 'Mullidae': 0.89, 'Scaridae': 65.34, 'Siganidae': 10.25, 'Apogonidae': 16.44, 'Lutjanidae': 3.13, 'Plotosidae': 3.69, 'Serranidae': 2.05, 'Acanthuridae': 1.91, 'Caesioinidae': 0.92, 'Nemipteridae': 9.42, 'Syngnathidae': 0.05, 'Monacanthidae': 0.56, 'Pomacanthidae': 3.45, 'Pomacentridae': 91.58, 'Chaetodontidae': 7.05, 'Pseudochromidae': 0.46}",,,Seagrass,Terrestrial Reef Flat,-0.0811,0.26478,0.5528,0.08129,-1.04933,-2.05986,3.248541503,3405.727295,19.51936913,8132.715759,0,53,0.711261179,b4f09f60-a64b-46e5-a544-52f2b7f484af,623e13ec-cd53-4858-bc0c-2b8179fd3123,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,c1fccef2-12ac-41d2-a54b-c3dfbb6bb6c3,b4f09f60-a64b-46e5-a544-52f2b7f484af,public summary
Liang Ngali MPA 2018,Indonesia,Tanjung Bantin_Zona Pemanfaatan,-8.42352,117.60098,sheltered,fringing,crest,2018,9,19,rising,5-10m - fair,low,5.43,Utilization Tourism,Pemanfaatan Pariwisata,2016,,"community, local government, government, NGO, private sector",somewhat,no take,7,217.38,"{'omnivore': 5.98, 'piscivore': 15.94, 'planktivore': 18.74, 'invertivore-mobile': 114.51, 'invertivore-sessile': 3.76, 'herbivore-macroalgae': 1.62, 'herbivore-detritivore': 56.83}","{'Labridae': 76.62, 'Mullidae': 0.65, 'Scaridae': 46.94, 'Siganidae': 1.09, 'Apogonidae': 6.38, 'Lutjanidae': 1.64, 'Muraenidae': 10.01, 'Serranidae': 2.11, 'Lethrinidae': 15.2, 'Acanthuridae': 8.07, 'Centriscidae': 0.18, 'Nemipteridae': 11.41, 'Pomacanthidae': 3.51, 'Pomacentridae': 23.63, 'Chaetodontidae': 9.55, 'Tetraodontidae': 0.4}",,,Coral/Algae,Sheltered Reef Slope,-0.093899999,0.264779996,0.567469991,0.079689999,-1.173649982,-2.262589966,3.922341729,2136.94113,15.53290057,5002.556601,0,28.99999956,0.700410228,ec187144-f5b0-4fb6-b11d-b291f1c0bde4,016d6a06-e5f5-453a-90e5-0d620e7aa270,5ab09175-ed7a-4ad8-8402-1242dcfeddf6,,https://datamermaid.org/contact-project?project_id=5ab09175-ed7a-4ad8-8402-1242dcfeddf6,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,62e38f32-bea9-40d4-9ef6-f307763bb703,ec187144-f5b0-4fb6-b11d-b291f1c0bde4,public summary
