Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Fish_area_m2,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,400,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,100,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,600,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,3600,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,100,0,0,0,12200,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,280,0,0,0,240,0,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,0,40,80,0,80,400,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,320,0,40,0,240,480,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,160,120,0,0,160,80,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,400,0,0,0,400,120,0
Indonesia,North Maluku _Guraici,Dorolamo,"0° 0' 56,809"" S","127° 10' 7,251"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,440,0,40,0,240,120,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,3800,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,2700,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,900,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,5000,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,1100,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,400,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,240,0,80,0,200,200,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,320,0,0,0,320,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,80,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,400,0,0,0,240,40,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,160,0,80,0,1000,0,0
