site_name,latitude,longitude,sample_date_year,sample_date_month,sample_date_day,reef_exposure,reef_type,reef_zone,depth_avg,percent_cover_by_benthic_category_avg
Ampalas Barat,-6.92243,121.28002,2015,4,22,sheltered,atoll,back reef,5.5,"{'Sand': 9.83, 'Other': 0.0, 'Rubble': 7.83, 'Seagrass': 31.33, 'Hard coral': 25.67, 'Macroalgae': 2.5, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.83, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}"
Ampalas Timur,-6.922428003,121.280016,2015,4,22,semi-exposed,fringing,fore reef,5.5,"{'Sand': 6.83, 'Other': 0.0, 'Rubble': 11.0, 'Seagrass': 34.67, 'Hard coral': 19.83, 'Macroalgae': 1.5, 'Soft coral': 5.83, 'Turf algae': 0.5, 'Cyanobacteria': 0.0, 'Bare substrate': 16.67, 'Other invertebrates': 3.17, 'Crustose coralline algae': 0.0}"
Belang-Belang,-6.39778,121.09569,2015,4,12,exposed,atoll,fore reef,5,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 1.0, 'Seagrass': 0.0, 'Hard coral': 17.67, 'Macroalgae': 2.67, 'Soft coral': 19.17, 'Turf algae': 10.0, 'Cyanobacteria': 0.0, 'Bare substrate': 43.67, 'Other invertebrates': 5.5, 'Crustose coralline algae': 0.0}"
Bungin Kamase,-6.938359989,121.000066,2015,4,20,semi-exposed,fringing,fore reef,6,"{'Sand': 8.67, 'Other': 0.0, 'Rubble': 15.83, 'Seagrass': 0.0, 'Hard coral': 25.67, 'Macroalgae': 2.17, 'Soft coral': 11.0, 'Turf algae': 1.5, 'Cyanobacteria': 0.0, 'Bare substrate': 26.67, 'Other invertebrates': 8.5, 'Crustose coralline algae': 0.0}"
Bungin Laloh,-6.81948,121.28083,2015,4,23,exposed,atoll,fore reef,5,"{'Sand': 5.17, 'Other': 0.0, 'Rubble': 6.33, 'Seagrass': 0.0, 'Hard coral': 40.67, 'Macroalgae': 2.0, 'Soft coral': 14.83, 'Turf algae': 0.5, 'Cyanobacteria': 0.0, 'Bare substrate': 22.5, 'Other invertebrates': 8.0, 'Crustose coralline algae': 0.0}"
Jinato Barat,-6.77289,120.96176,2015,4,17,exposed,atoll,fore reef,5,"{'Sand': 3.67, 'Other': 0.0, 'Rubble': 4.5, 'Seagrass': 0.0, 'Hard coral': 52.0, 'Macroalgae': 3.33, 'Soft coral': 9.67, 'Turf algae': 0.17, 'Cyanobacteria': 0.0, 'Bare substrate': 16.17, 'Other invertebrates': 10.5, 'Crustose coralline algae': 0.0}"
Lantigiang Barat Daya,-6.70882,120.95501,2015,4,16,exposed,atoll,fore reef,5.5,"{'Sand': 8.5, 'Other': 0.0, 'Rubble': 5.33, 'Seagrass': 0.0, 'Hard coral': 38.5, 'Macroalgae': 1.5, 'Soft coral': 15.33, 'Turf algae': 0.33, 'Cyanobacteria': 0.0, 'Bare substrate': 26.33, 'Other invertebrates': 4.17, 'Crustose coralline algae': 0.0}"
Lantigiang Utara,-6.69546,120.96014,2015,4,16,exposed,atoll,fore reef,5,"{'Sand': 4.83, 'Other': 0.0, 'Rubble': 20.5, 'Seagrass': 0.0, 'Hard coral': 22.67, 'Macroalgae': 0.83, 'Soft coral': 8.83, 'Turf algae': 0.5, 'Cyanobacteria': 0.0, 'Bare substrate': 33.67, 'Other invertebrates': 8.17, 'Crustose coralline algae': 0.0}"
Latondu Kecil 1,-6.54816,120.92637,2015,4,9,exposed,atoll,fore reef,5.5,"{'Sand': 1.67, 'Other': 0.0, 'Rubble': 1.67, 'Seagrass': 0.0, 'Hard coral': 45.33, 'Macroalgae': 0.83, 'Soft coral': 17.17, 'Turf algae': 0.17, 'Cyanobacteria': 0.0, 'Bare substrate': 28.83, 'Other invertebrates': 4.33, 'Crustose coralline algae': 0.0}"
Latondu Kecil 2,-6.523467014,120.930956,2015,4,9,semi-exposed,fringing,fore reef,5.5,"{'Sand': 9.33, 'Other': 0.0, 'Rubble': 0.17, 'Seagrass': 0.0, 'Hard coral': 23.67, 'Macroalgae': 4.17, 'Soft coral': 17.0, 'Turf algae': 7.83, 'Cyanobacteria': 0.0, 'Bare substrate': 29.0, 'Other invertebrates': 8.83, 'Crustose coralline algae': 0.0}"
